"subjectID","wave","task","run","nVols","percent"
"001",1,"PROP",1,1,0.3
"001",1,"PROP",2,0,0
"002",1,"PROP",1,0,0
"002",1,"PROP",2,0,0
"003",1,"PROP",1,0,0
"003",1,"PROP",2,1,0.3
"004",1,"PROP",1,0,0
"004",1,"PROP",2,0,0
"005",1,"PROP",1,0,0
"005",1,"PROP",2,0,0
"006",1,"PROP",1,0,0
"006",1,"PROP",2,0,0
"007",1,"PROP",1,0,0
"007",1,"PROP",2,0,0
"008",1,"PROP",1,0,0
"008",1,"PROP",2,0,0
"009",1,"PROP",1,0,0
"009",1,"PROP",2,2,0.6
"010",1,"PROP",1,4,1.4
"012",1,"PROP",1,0,0
"012",1,"PROP",2,0,0
"013",1,"PROP",1,0,0
"013",1,"PROP",2,0,0
"015",1,"PROP",1,0,0
"015",1,"PROP",2,0,0
"016",1,"PROP",1,1,0.3
"016",1,"PROP",2,0,0
"017",1,"PROP",1,12,3.9
"017",1,"PROP",2,11,3.9
"018",1,"PROP",1,0,0
"018",1,"PROP",2,9,2.9
"019",1,"PROP",1,16,5.6
"019",1,"PROP",2,28,9.2
"020",1,"PROP",1,10,3.3
"020",1,"PROP",2,4,1.4
"021",1,"PROP",1,5,1.8
"021",1,"PROP",2,5,1.6
"022",1,"PROP",1,20,6.3
"022",1,"PROP",2,0,0
"023",1,"PROP",1,0,0
"023",1,"PROP",2,0,0
"024",1,"PROP",1,5,1.8
"025",1,"PROP",1,0,0
"025",1,"PROP",2,0,0
"026",1,"PROP",1,0,0
"026",1,"PROP",2,0,0
"027",1,"PROP",1,3,1.1
"027",1,"PROP",2,0,0
"028",1,"PROP",1,0,0
"028",1,"PROP",2,0,0
"029",1,"PROP",1,0,0
"029",1,"PROP",2,0,0
"030",1,"PROP",1,4,1.3
"030",1,"PROP",2,9,3.1
"032",1,"PROP",1,0,0
"032",1,"PROP",2,0,0
