"subjectID","wave","task","run","volume","trash"
"001",1,"PROP",1,138,1
"003",1,"PROP",2,217,1
"009",1,"PROP",2,217,1
"009",1,"PROP",2,218,1
"010",1,"PROP",1,229,1
"010",1,"PROP",1,255,1
"010",1,"PROP",1,256,1
"010",1,"PROP",1,257,1
"016",1,"PROP",1,250,1
"017",1,"PROP",1,33,1
"017",1,"PROP",1,34,1
"017",1,"PROP",1,35,1
"017",1,"PROP",1,36,1
"017",1,"PROP",1,111,1
"017",1,"PROP",1,112,1
"017",1,"PROP",1,113,1
"017",1,"PROP",1,114,1
"017",1,"PROP",1,243,1
"017",1,"PROP",1,244,1
"017",1,"PROP",1,245,1
"017",1,"PROP",1,246,1
"017",1,"PROP",2,50,1
"017",1,"PROP",2,51,1
"017",1,"PROP",2,52,1
"017",1,"PROP",2,53,1
"017",1,"PROP",2,54,1
"017",1,"PROP",2,73,1
"017",1,"PROP",2,74,1
"017",1,"PROP",2,75,1
"017",1,"PROP",2,156,1
"017",1,"PROP",2,157,1
"017",1,"PROP",2,158,1
"018",1,"PROP",2,6,1
"018",1,"PROP",2,7,1
"018",1,"PROP",2,101,1
"018",1,"PROP",2,171,1
"018",1,"PROP",2,196,1
"018",1,"PROP",2,226,1
"018",1,"PROP",2,277,1
"018",1,"PROP",2,278,1
"018",1,"PROP",2,279,1
"019",1,"PROP",1,18,1
"019",1,"PROP",1,19,1
"019",1,"PROP",1,20,1
"019",1,"PROP",1,21,1
"019",1,"PROP",1,22,1
"019",1,"PROP",1,45,1
"019",1,"PROP",1,46,1
"019",1,"PROP",1,95,1
"019",1,"PROP",1,148,1
"019",1,"PROP",1,149,1
"019",1,"PROP",1,150,1
"019",1,"PROP",1,181,1
"019",1,"PROP",1,182,1
"019",1,"PROP",1,240,1
"019",1,"PROP",1,241,1
"019",1,"PROP",1,268,1
"019",1,"PROP",2,71,1
"019",1,"PROP",2,72,1
"019",1,"PROP",2,73,1
"019",1,"PROP",2,74,1
"019",1,"PROP",2,88,1
"019",1,"PROP",2,89,1
"019",1,"PROP",2,90,1
"019",1,"PROP",2,91,1
"019",1,"PROP",2,97,1
"019",1,"PROP",2,98,1
"019",1,"PROP",2,107,1
"019",1,"PROP",2,108,1
"019",1,"PROP",2,115,1
"019",1,"PROP",2,116,1
"019",1,"PROP",2,117,1
"019",1,"PROP",2,118,1
"019",1,"PROP",2,119,1
"019",1,"PROP",2,120,1
"019",1,"PROP",2,121,1
"019",1,"PROP",2,130,1
"019",1,"PROP",2,204,1
"019",1,"PROP",2,205,1
"019",1,"PROP",2,299,1
"019",1,"PROP",2,300,1
"019",1,"PROP",2,301,1
"019",1,"PROP",2,302,1
"019",1,"PROP",2,303,1
"019",1,"PROP",2,304,1
"020",1,"PROP",1,52,1
"020",1,"PROP",1,53,1
"020",1,"PROP",1,54,1
"020",1,"PROP",1,136,1
"020",1,"PROP",1,137,1
"020",1,"PROP",1,150,1
"020",1,"PROP",1,187,1
"020",1,"PROP",1,228,1
"020",1,"PROP",1,229,1
"020",1,"PROP",1,230,1
"020",1,"PROP",2,18,1
"020",1,"PROP",2,19,1
"020",1,"PROP",2,159,1
"020",1,"PROP",2,239,1
"021",1,"PROP",1,69,1
"021",1,"PROP",1,70,1
"021",1,"PROP",1,71,1
"021",1,"PROP",1,72,1
"021",1,"PROP",1,96,1
"021",1,"PROP",2,162,1
"021",1,"PROP",2,163,1
"021",1,"PROP",2,251,1
"021",1,"PROP",2,252,1
"021",1,"PROP",2,253,1
"022",1,"PROP",1,31,1
"022",1,"PROP",1,87,1
"022",1,"PROP",1,88,1
"022",1,"PROP",1,89,1
"022",1,"PROP",1,90,1
"022",1,"PROP",1,133,1
"022",1,"PROP",1,134,1
"022",1,"PROP",1,187,1
"022",1,"PROP",1,188,1
"022",1,"PROP",1,189,1
"022",1,"PROP",1,190,1
"022",1,"PROP",1,236,1
"022",1,"PROP",1,237,1
"022",1,"PROP",1,238,1
"022",1,"PROP",1,246,1
"022",1,"PROP",1,286,1
"022",1,"PROP",1,289,1
"022",1,"PROP",1,290,1
"022",1,"PROP",1,291,1
"022",1,"PROP",1,296,1
"024",1,"PROP",1,54,1
"024",1,"PROP",1,55,1
"024",1,"PROP",1,56,1
"024",1,"PROP",1,57,1
"024",1,"PROP",1,58,1
"027",1,"PROP",1,162,1
"027",1,"PROP",1,198,1
"027",1,"PROP",1,199,1
"030",1,"PROP",1,56,1
"030",1,"PROP",1,240,1
"030",1,"PROP",1,241,1
"030",1,"PROP",1,281,1
"030",1,"PROP",2,87,1
"030",1,"PROP",2,218,1
"030",1,"PROP",2,219,1
"030",1,"PROP",2,220,1
"030",1,"PROP",2,221,1
"030",1,"PROP",2,255,1
"030",1,"PROP",2,256,1
"030",1,"PROP",2,257,1
"030",1,"PROP",2,258,1
